Timestamp,chl,air_temp,PAR_5dm,temp_75dm,temp_10m,latitude,chl_backscatter_fluoro_532nm,PAR_1m,temp_25dm,longitude,chl_DOM_fluoro_460nm,pressure_db_20m,temp_5m,r1,g1,b1,r2,g2,b2,month_day_time_int
2015-08-11 22:10:00,0.072441637,-0.5861023333333334,78.07878568333335,0.7507778256666667,-0.4036195676666667,74.02231413,0.0005347873333333333,58.07775060666666,-0.4964543383333333,-176.48221746666664,1.2652557580000001,131.6586609,0.39416220766666665,4,177,191,4,74,89,1926060
2015-08-12 22:10:00,0.09679903266666667,-0.21611076666666665,60.07078603666667,0.339665988,0.40584160900000005,74.1295416,0.0005228543333333334,49.85835239333334,-0.02344075333333333,-176.79730983333334,1.4806414116666666,131.66704813333334,-0.0068059819999999995,4,90,106,13,238,242,1934700
2015-08-13 22:10:00,0.04038295333333333,-0.17620479666666666,335.7595076666667,0.1961527713333333,0.5979489683333333,74.16137696333334,0.000505812,204.51019813333335,-0.08859822633333335,-177.2412360333333,0.6038987523333333,131.98877463333332,-0.04489668933333333,4,117,130,4,228,233,1943340
2015-08-14 22:10:00,0.04839159166666667,-1.0624213333333332,102.30843847333334,0.30374047666666665,0.33310417333333336,74.14133849,0.0004842426666666667,95.60487305666668,-0.5165296196666667,-177.76417516666666,0.7510192296666666,134.00006613333332,-0.23970332733333333,4,201,210,4,63,77,1951980
2015-08-15 22:10:00,0.06442926266666667,-0.8066513333333334,72.15532908,0.3788911203333334,0.434241732,74.23570786666666,0.0005833206666666667,63.94796396,-0.4237119653333334,-177.68140440000002,1.142946526,135.0,-0.26471681399999997,4,195,206,4,61,76,1960620
2015-08-16 22:10:00,0.028160860333333333,-0.3027104333333333,240.3812697,0.16298017533333334,0.591088752,74.22070860999999,0.000517831,187.9957432,-0.22338145466666667,-177.751262,0.96993297,135.0,-0.12388602233333335,4,180,191,4,68,79,1969260
2015-08-17 22:10:00,0.048418749000000004,-0.32659489999999997,117.45516956666665,0.2824041446666667,0.565605422,74.24128740666667,0.000455183,119.29711793333333,-0.16330508866666668,-178.27433306666668,1.6018712993333333,134.99967446666668,-0.2465501923333333,51,200,191,5,52,56,1977900
2015-08-18 22:10:00,0.060542921666666666,-0.43352440000000003,91.89692792,0.38344992200000005,0.49702245000000006,74.27380113666668,0.0005249853333333333,78.84535094333334,-0.3666549723333333,-178.74399183333335,1.1232064756666666,134.32974753333335,-0.2890696426666666,4,99,118,7,241,246,1986540
2015-08-19 22:10:00,0.060481457999999995,-0.47562793333333336,60.87785745666667,0.6866689523333332,-0.17483363033333332,74.36058302,0.00046500433333333336,49.16315324000001,-0.04995829170000001,-179.3973051,1.511221345,134.67725116666668,0.3577482766666667,4,135,155,4,211,236,1995180
2015-08-20 22:10:00,0.06454528933333332,-0.3431464,87.00670588000001,1.703312834,2.409991264333333,74.44350855666666,0.00048409733333333333,65.04860289333334,0.09644285133333334,179.72228636666668,1.455995731,135.0031891,0.4023445396666667,4,156,166,6,71,78,2003820
2015-08-21 22:10:00,0.06458213,-0.36146440333333335,72.68473259333332,1.186975519,2.8705865543333338,74.57899572999999,0.00048672299999999994,54.08655438333333,0.16021232566666666,179.224143,1.5732018559999998,129.65602113333333,0.393613736,4,162,172,4,66,81,2012460
2015-08-22 22:10:00,0.08479112733333333,-0.4998158666666666,98.85395395333335,0.32319877533333335,0.0007869600000000218,74.76857029,0.0005060976666666667,83.39996306333332,0.5837634903333333,178.5159153333333,1.5414739193333336,133.6651102666667,0.6802844403333334,4,122,149,9,241,249,2021100
2015-08-23 22:10:00,0.08884601533333332,0.4411481666666666,118.61685559,0.15568747733333335,-0.22995417333333334,74.72028515666666,0.00045053866666666664,97.10847110000002,0.6035236713333333,177.48263003333332,1.1486997496666667,134.6628418,0.643702467,54,194,186,4,38,42,2029740
2015-08-24 22:10:00,0.072616013,0.6633084333333333,197.49715410000002,2.330044985,2.3007646403333335,74.87832871666667,0.00043377100000000006,164.94395366666666,1.3305802346666666,176.6237149333333,0.6041706026666667,133.65504963333333,2.196549972,4,145,146,5,46,49,2038380
2015-08-25 22:10:00,0.14927539599999998,1.6500130000000002,76.01038828666667,1.9669291973333334,2.0070845286666663,74.98695839,0.0003926946666666666,61.73530924666667,1.9131942986666666,175.4352704,1.8164625236666667,131.67059326666666,1.9366851250000001,40,168,165,4,42,47,2047020
2015-08-26 22:10:00,0.12098470466666666,0.3717110666666667,118.31900666000001,1.296477834,1.3199139436666665,74.90876047333334,0.000373404,96.21365153666666,1.2100131113333334,174.86846363333333,1.086203794,132.33784483333332,1.2765167556666666,4,161,151,5,71,70,2055660
